seed,exp_num,retinal_quadrant,experimenter,animgender,animgender_a,animgender_b,age_week,age_week_a,age_week_b,age_week_diff,field_0_distance_um,field_1_distance_um,field_2_distance_um,field_distance_um_mean,field_distance_um_max,date_a,date_b,train_field_id,test_field_id,num_train,num_test,num_train_fields,num_test_fields,num_train_retinas,num_test_retinas,train_accuracy_cell,test_accuracy_cell,test_accuracy_field,test_accuracy_retina
0,1,any,Cai,any,female,female,,9.0,15.0,6.0,1024.1610029677952,631.5594983847523,,827.8602506762737,1024.1610029677952,2022-07-21,2023-08-29,0,1,60,62,2,2,2,2,1.0,0.6129032258064516,1.0,1.0
0,1,any,Cai,any,female,female,,9.0,15.0,6.0,1024.1610029677952,631.5594983847523,,827.8602506762737,1024.1610029677952,2022-07-21,2023-08-29,1,0,62,60,2,2,2,2,1.0,0.6166666666666667,0.5,0.5
0,1,any,Cai,any,female,male,,9.0,17.0,8.0,801.5189392646938,1262.855130250497,,1032.1870347575955,1262.855130250497,2022-07-21,2023-09-05,0,1,60,62,2,2,2,2,1.0,0.5,0.5,0.5
0,1,any,Cai,any,female,male,,9.0,17.0,8.0,801.5189392646938,1262.855130250497,,1032.1870347575955,1262.855130250497,2022-07-21,2023-09-05,1,0,62,60,2,2,2,2,1.0,0.4166666666666667,0.5,0.5
0,1,any,Cai,any,male,female,,18.0,11.0,7.0,1447.6290808076494,1894.024883680254,,1670.8269822439518,1894.024883680254,2022-07-27,2022-09-21,0,1,108,90,2,2,2,2,1.0,0.7444444444444445,1.0,1.0
0,1,any,Cai,any,male,female,,18.0,11.0,7.0,1447.6290808076494,1894.024883680254,,1670.8269822439518,1894.024883680254,2022-07-27,2022-09-21,1,0,90,108,2,2,2,2,1.0,0.7037037037037037,1.0,1.0
0,1,any,Cai,any,male,male,,18.0,23.0,5.0,1448.3939588385474,512.152565160031,,980.2732619992892,1448.3939588385474,2022-07-27,2023-03-07,0,1,132,106,2,2,2,2,1.0,0.5283018867924528,0.5,0.5
0,1,any,Cai,any,male,male,,18.0,23.0,5.0,1448.3939588385474,512.152565160031,,980.2732619992892,1448.3939588385474,2022-07-27,2023-03-07,1,0,106,132,2,2,2,2,1.0,0.6287878787878788,0.5,0.5
0,1,any,Cai,any,male,male,,18.0,25.0,7.0,684.6044186243615,900.256285732013,,792.4303521781873,900.256285732013,2022-07-27,2023-03-23,0,1,132,108,2,2,2,2,1.0,0.7222222222222222,1.0,1.0
0,1,any,Cai,any,male,male,,18.0,25.0,7.0,684.6044186243615,900.256285732013,,792.4303521781873,900.256285732013,2022-07-27,2023-03-23,1,0,108,132,2,2,2,2,1.0,0.6439393939393939,0.5,0.5
